編號,答案,類近題目
2201,"參考答案
A. 氧氣 (O₂)
A. Oxygen (O₂)

詳細解釋 (Detailed Explanation)
直接穿越磷脂雙分子層的條件
只有 小型、非極性分子 可以自由擴散通過。
Only small, non-polar molecules can directly diffuse through the phospholipid bilayer.

各選項物質的通道

氧氣 (O₂) → 非極性分子 ⇒ 可直接通過磷脂雙層 → 屬於 X。
Oxygen (O₂): non-polar molecule ⇒ can diffuse directly through bilayer ⇒ represents X.
葡萄糖 (C₆H₁₂O₆) → 大型極性分子 ⇒ 需透過 葡萄糖轉運蛋白 (carrier protein) 運送 → 屬於 Y。
Glucose: large polar molecule ⇒ requires carrier protein transport ⇒ represents Y.
水 (H₂O) → 小型極性分子 ⇒ 雖然體積小，但主要透過 水通道蛋白 (aquaporin) 運輸 → 屬於 Z。
Water (H₂O): small polar molecule ⇒ mainly crosses via aquaporins ⇒ represents Z.
結論
答案是 A. 氧氣，因為只有它能自由穿越磷脂雙層。
Correct answer: A. Oxygen, since only O₂ can freely diffuse across the bilayer.

📌 考試提醒 (Exam Tips)

大分子或極性分子（如葡萄糖） → 需要載體蛋白 (carrier proteins)。
Large or polar molecules (e.g. glucose) → need carrier proteins.
小極性分子（如水） → 依靠通道蛋白 (channel proteins, e.g. aquaporins)。
Small polar molecules (e.g. water) → rely on channel proteins.
小非極性分子（如 O₂、CO₂） → 才能直接穿過脂雙層。
Small non-polar molecules (e.g. O₂, CO₂) → can cross freely through lipid bilayer.",
2202,"第 2 題 (DNA 鹼基配對)
參考答案
C. 只有 (2) 和 (3)
C. Only (2) and (3)

詳細解釋 (Detailed Explanation)
(1) DNA 是螺旋型
與鹼基比例無直接關係。
Helical shape of DNA does not explain base ratio.

(2) DNA 是雙鏈分子
兩條鏈互補配對，A 與 T，C 與 G。
DNA is double-stranded, with complementary base pairing of A–T and C–G.

(3) 含氮鹼基互補配對
A 與 T 配對，C 與 G 配對 → A+C=50% 說明互補規律。
A pairs with T, C with G → A + C = 50% fits complementary rule.

✅ 正確是 (2)、(3)。
Correct: (2) and (3).

📌 考試提醒 (Exam Tips)

Chargaff’s rule：A=T, C=G。
Chargaff’s rule: A=T, C=G.
DNA 為「雙鏈 + 互補配對」。
DNA is “double-stranded + complementary pairing”.
「螺旋形態」與比例無關。
Helical structure unrelated to base ratios.",
2203,"第 3 題 (孟德爾分離定律)
參考答案
A. 等位基因；第一次減數細胞分裂
A. Alleles; Meiosis I

詳細解釋 (Detailed Explanation)
現代理解的遺傳因子
孟德爾的「因子」= 等位基因。
Mendel’s “factors” = alleles.

等位基因的分離
位於同源染色體上，在 減 I 同源分離時分開。
Alleles are on homologous chromosomes, separated in Meiosis I.

為何不是減 II?
減 II 分裂姐妹染色單體，非等位基因。
Meiosis II separates sister chromatids, not alleles.

📌 考試提醒 (Exam Tips)

分離定律= 等位基因在減 I 分離。
Law of segregation = alleles segregate in Meiosis I.
獨立分配定律= 減 I 不同染色體獨立分配。
Law of independent assortment = chromosomes assort independently in Meiosis I.",
2204,"第 4 題 (體細胞染色體數目)
參考答案
B. 4
B. 4

詳細解釋 (Detailed Explanation)
題幹提示：「有兩對同源染色體」= 2n = 4。
Question states: “two pairs of homologous chromosomes” = 2n = 4.

體細胞是二倍體 → 染色體數目 = 4。
Somatic cells are diploid → chromosome number = 4.

染色體計算：不論是否複製，X 形結構仍計為 1 條。
Chromosome count is independent of replication; an X-shaped structure counts as one chromosome.

📌 考試提醒 (Exam Tips)

Chromosome ≠ Chromatid!
看「同源對數」推算 2n。
減 I 前染色體複製 → 含 2 個姐妹染色單體。
Chromosome ≠ chromatid; count homologous pairs; replicated X still = 1 chromosome.",
2205,"第 5 題 (減數分裂排列)
參考答案
B
B

詳細解釋 (Detailed Explanation)
減 I 中期特徵
同源染色體成對排列在赤道板。
Metaphase I: homologous chromosomes (bivalents) line up at equator.

檢視選項

A/C/D：並非呈對，只顯示單條 → 錯。
A/C/D: show single chromosomes, not pairs → incorrect.
B：同源染色體以對排列 → 正確。
B: homologous chromosomes paired at equator → correct.
📌 考試提醒 (Exam Tips)

減 I 中期 → 同源成對。
Meiosis I metaphase → homologous pairs.
減 II 中期 → 單條染色體。
Meiosis II metaphase → single chromosomes.",
2206,"參考答案
D. S
D. S

詳細解釋 (Detailed Explanation)
單卵雙生兒基因完全相同
如果某特徵完全由基因控制，相似度應該是 100%。
Identical twins have exactly the same genes. If a trait is entirely determined by genes, the similarity should be 100%.

特徵分析

P, Q：單卵雙生兒相似度接近 100% → 幾乎完全受基因控制。
P, Q: similarity close to 100% → almost entirely genetic.
R：單卵雙生兒相似度約 90%，但仍高於二卵雙生兒 → 基因影響大，環境影響中等。
R: similarity ≈ 90%, higher than fraternal twins → mainly genetic, partly environmental.
S：單卵雙生兒相似度只有 ~80%，比其他三項低 → 環境因素影響最大。
S: similarity only ~80%, the lowest among traits → most influenced by environment.
結論
特徵 S 最受環境影響。
Trait S is the most affected by environmental factors.

📌 考試提醒 (Exam Tips)

相似度接近 100% → 基因決定。
Similarity close to 100% → determined by genes.
相似度 <100%（即使在單卵雙生兒） → 有環境影響。
Similarity < 100% (even in identical twins) → environmental effect exists.
用「誰的相似度最低？」判斷「環境因素影響最大」。
The lowest similarity → strongest environmental influence.",
2207,"第 7 題 (親緣關係)
參考答案
C. X 與 Z 的親緣關係較 X 與 Y 近
C. X is more closely related to Z than to Y

詳細解釋 (Detailed Explanation)
細胞壁 ≠ 原核獨有 → 植物/真菌也有。
Cell wall ≠ prokaryote only → plants and fungi too.

相似度：

X–Y: 45%
X–Z: 55% → 更相似。
X–Y: 45%; X–Z: 55% → closer relation.
相似度高 → 親緣近。
Higher similarity → closer relation.

📌 考試提醒 (Exam Tips)

用蛋白序列相似度判斷親緣。
細胞壁不是可靠的分類特徵。
Protein sequence similarity = phylogenetic closeness; cell wall not a reliable marker.",
2208,"第 8 題 (分解者與演替)
參考答案
D. 以銨化合物的形式，將氮釋放回土壤
D. Release nitrogen back into the soil in the form of ammonium compounds

詳細解釋 (Detailed Explanation)
分解者將含氮有機物分解 → 釋放 銨離子 (NH₄⁺) → 氨化作用。
Decomposers break down nitrogenous organics → release NH₄⁺ → ammonification.

植物吸收 NH₄⁺/NO₃⁻ → 合成蛋白質 → 推動生態演替。
Plants absorb NH₄⁺/NO₃⁻ → build proteins → drive succession.

其他選項

A：岩石風化 → 非分解者功能。
Rock weathering → not decomposers.
B：清除死有機物表面正確，但與演替關連不足。
Removal of dead matter insufficient for succession.
C：釋放 CO₂ 屬呼吸作用。
CO₂ release is respiration.
D：正確 → 銨化合物釋放，推動群落發展。
Correct → ammonium release drives community growth.
📌 考試提醒 (Exam Tips)

關鍵字：氨化作用 (ammonification)。
Keyword: ammonification
有機氮 → NH₄⁺ → 硝化菌 → NO₂⁻/NO₃⁻。
Organic N → NH₄⁺ → nitrification → NO₂⁻/NO₃⁻.
出題常連結「演替」與「分解者氮循環」。
Questions link “succession” with “decomposers in nitrogen cycle”.
📘 全部第 2–8 題 已整理完成，中英對照、逐步解釋+考試提醒。
老師要不要我幫你做一個 統一標頭模板（例如：題號、答案、解釋、提醒四部分自動排版），方便整本題解保持格式一致？",
2209,"參考答案
C. 只有 (2) 和 (3)
C. Only (2) and (3)

詳細解釋 (Detailed Explanation)
選項 (1)：昆蟲平均分布在樹上
題目沒有提供昆蟲數量的分布資料，我們只知道「不同鳥在捕食不同區域的昆蟲」，並不能推論昆蟲分布是平均的。
The question does not provide data on insect distribution. We only know that different birds feed in different zones, but this does not mean insects are evenly distributed.
→ (1) ❌ 錯 / Incorrect

選項 (2)：鳥 A、B、C 具有不同生態位
生態位不僅指「地點」，還包括一個物種在生態系統的角色與資源利用方式。因為 A、B、C 棲息於同一棵樹，但分利用不同區域 → 它們的生態位不同。
A niche refers to the habitat, role, and interactions of a species within an ecosystem. Since A, B, and C exploit different parts of the same tree, they have different niches.
→ (2) ✅ 正確 / Correct

選項 (3)：種間競爭較小
由於三種鳥分開覓食，資源利用重疊減少，因此它們之間的競爭壓力較低。
Because the three bird species feed in different zones, their resource overlap is reduced, so interspecific competition is smaller.
→ (3) ✅ 正確 / Correct

📌 考試提醒 (Exam Tips)

生態位 (niche) = 棲息地 + 資源利用方式 + 在生態系統中的角色。
Niche = habitat + resource use + ecological role.
不同物種若在相同棲地利用不同資源 → 降低種間競爭。
Different species using different resources in the same habitat → reduced interspecific competition.
題目沒有提到「昆蟲分布平均」→ 類似的推論要避免。
If not directly stated, don’t assume even distribution of insects.",
2210,"參考答案
D. 偏利共生 (Commensalism)
D. Commensalism

詳細解釋 (Detailed Explanation)
題目觀察

單獨生活時：X 的數量緩慢上升，Y 的數量幾乎不變。
In solitary living: X increases slowly, Y almost constant.
一同生活時：X 的數量增長明顯加快，而 Y 的數量仍保持不變。
In co-living: X grows faster, while Y remains unchanged.
生態關係判斷

互利共生 (Mutualism)：雙方都得益 → 不符合，因為 Y 沒有明顯益處。
Mutualism: both benefit → incorrect, since Y shows no benefit.
捕食 (Predation)：一方受益，另一方受害 → 不符合，Y 沒有受害。
Predation: one benefits, the other harmed → not the case, Y is unharmed.
競爭 (Competition)：雙方受害 → 不符合。
Competition: both harmed → not the case.
偏利共生 (Commensalism)：一方受益，另一方不受影響 → 完全符合。
Commensalism: one benefits, the other unaffected → matches perfectly.
結論
X 因 Y 的存在受益，數量明顯增加；但 Y 沒受影響 → 偏利共生。
X benefits from Y’s presence, population increases significantly; Y is unaffected → Commensalism.

📌 考試提醒 (Exam Tips)

互利 (Mutualism)：+ / +
偏利 (Commensalism)：+ / 0
寄生 / 捕食 (Parasitism / Predation)：+ / –
競爭 (Competition)：– / –
👉 在圖題裡常用「種群數目變化」判斷：若只有一方曲線上升，另一方維持不變 → 偏利共生。
👉 In graph questions, use “population trend” to judge: if only one rises while the other stays flat → it’s commensalism.",
